surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
31,1,0,7,65499,88,1980,0,-1,44.411926,26.135809,0.67429235,0.073322999
75,3,0,7,249000,87,2018,0,-1,44.448467,26.08438,0.388777172,0.164490733
52.8,2,1,7,111000,65,2025,1,0,44.37607,26.102432,2.452213177,0.163232624
73.4,3,3,7,190550,10,2019,0,-1,44.390564,26.106812,0.926005755,0.284133799
51,2,10,10,126000,88,2018,0,-1,44.414787,26.133411,0.570596129,0.049522423
58,3,7,10,123000,85,1962,1,3,44.441086,26.133587,0.041291615,0.068701545
53.35,2,0,6,111400,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
78,2,4,7,170000,58,2021,1,0,44.440617,26.189598,0.22778235,0.159445532
45.95,1,2,6,111000,3,2025,1,0,44.378418,26.13346,0.200123761,0.195870888
70,3,4,4,93990,79,1970,0,-1,44.426193,26.176825,1.130026591,0.199372577
52.2,2,4,12,111300,48,2025,1,0,44.36698,26.125013,1.498464312,0.152081128
55.92,2,8,8,144000,59,1959,1,-1,44.44609,26.09754,0.033848904,0.069443479
55.8,2,5,7,111000,52,2018,1,-1,44.438305,26.004223,0.481778016,0.205565918
53.04,2,1,12,108050,48,2025,1,0,44.36698,26.125013,1.498464312,0.152081128
94,4,7,10,250000,38,1983,1,-1,44.452312,26.074152,0.546601319,0.046931988
76,3,3,8,165000,10,1987,1,0,44.39389,26.109781,0.541246223,0.208233332
55.29,2,2,11,108500,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
80,3,2,6,276999,54,2015,0,0,44.417133,26.118896,0.441812349,0.382555639
75,3,2,2,295000,28,1943,0,0,44.45739,26.093637,0.95509073,0.187546238
38,2,0,4,64500,33,1972,0,-1,44.39292,26.068325,2.56377033,0.127771018
62,3,1,4,120000,52,1970,1,1,44.43619,26.01326,0.683838356,0.231461271
56,2,3,10,110000,13,1967,1,-1,44.483353,26.038578,0.198544056,0.192401038
58,2,4,8,125000,1,1989,0,-1,44.418438,26.069542,1.318889084,0.318719059
112,3,5,5,575000,47,2008,1,-1,44.480667,26.086449,1.108840045,0.520018837
54.75,2,1,4,135000,31,1984,0,0,44.450565,26.146431,1.504482462,0.070612392
35.8,2,0,7,85000,20,1960,0,-1,44.43865,26.092062,0.658441357,0.210389697
52.85,2,6,11,107887,48,2025,1,0,44.367184,26.124887,1.505298867,0.176833847
96,3,0,8,349000,32,1975,1,0,44.447693,26.104267,0.571500437,0.111530457
41,1,1,11,136000,52,2024,1,1,44.428806,26.041164,0.601161181,0.099710144
28.3,1,0,10,65500,88,1980,0,0,44.411842,26.135788,0.672903129,0.064335555
50,2,1,7,112000,16,1961,1,-1,44.421425,26.104277,0.741771163,0.084610865
72,3,2,4,125000,48,2018,1,1,44.36773,26.114256,2.134405783,0.040312509
46,2,0,4,91800,30,1964,0,1,44.42634,26.0346,0.488185604,0.131082241
58,2,2,7,91000,10,2026,1,1,44.38676,26.116875,0.81163672,0.154755246
70,3,9,10,93000,10,1976,1,3,44.37859,26.104258,2.145473457,0.214801952
84,3,1,5,127000,3,2026,1,1,44.3761,26.138962,0.481716069,0.097700765
65,3,2,4,105000,30,1974,0,-1,44.415264,26.020542,0.212417423,0.212355343
54,2,0,10,98500,69,1978,0,3,44.41151,26.164831,0.354294576,0.131591145
53,2,11,12,107992,48,2025,1,0,44.367184,26.124887,1.505298867,0.176833847
43,2,4,5,95900,48,2015,1,1,44.36961,26.14249,0.121125832,0.088341878
54,2,5,10,88999,21,1979,0,-1,44.463688,26.13635,1.811784588,0.147894956
49,2,8,11,180000,52,2024,1,1,44.42885,26.04132,0.60445955,0.109573217
46.62,2,0,7,105500,76,2023,1,-1,44.41228,26.194658,0.506933374,0.528814046
74,3,10,10,133500,79,1964,1,-1,44.42784,26.17591,0.995508854,0.299913047
68,3,4,10,105000,30,1976,1,-1,44.416355,26.019478,0.271881873,0.148790402
74,3,10,10,129500,79,1968,0,-1,44.427853,26.176147,1.004045764,0.283520093
88,3,4,5,220000,58,2018,0,-1,44.437355,26.164165,0.468964831,0.148718511
65.8,3,1,6,107500,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
47.07,2,8,8,91000,10,2018,0,-1,44.38831,26.117458,0.643101689,0.028427433
45,2,4,7,119900,77,1964,1,-1,44.41952,26.1045,0.529460034,0.14468921
51,2,1,3,130000,16,1936,0,-1,44.43055,26.1137,1.044613018,0.180169267
64,2,4,6,138500,63,2020,1,1,44.36122,26.15055,1.015961259,0.128072661
